pid,name,user,cpu_percent,memory_mb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,System Idle Process,NT AUTHORITY\SYSTEM,1108.4,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1656,fontdrvhost.exe,N/A,0,10.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1740,svchost.exe,N/A,0,21.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1792,svchost.exe,N/A,0,11.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1880,dwm.exe,N/A,0,335.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2064,svchost.exe,N/A,0,16.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2112,msedge.exe,DESKTOP-4B1OM9L\Gaming,0,34.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2164,svchost.exe,N/A,0,13.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2172,svchost.exe,N/A,0,7.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2256,NVIDIA Overlay.exe,DESKTOP-4B1OM9L\Gaming,0,24.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2300,svchost.exe,N/A,0,13.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2344,svchost.exe,N/A,0,15.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2416,svchost.exe,N/A,0,22.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452,svchost.exe,N/A,0,21.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512,svchost.exe,N/A,0,21.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2520,atiesrxx.exe,N/A,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2532,svchost.exe,DESKTOP-4B1OM9L\Gaming,0,14.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2552,svchost.exe,N/A,0,8.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2760,msedge.exe,DESKTOP-4B1OM9L\Gaming,0,31.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804,RtkUWP.exe,DESKTOP-4B1OM9L\Gaming,0,59.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2824,NVDisplay.Container.exe,N/A,0,55.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2836,taskhostw.exe,DESKTOP-4B1OM9L\Gaming,0,20.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2844,msedgewebview2.exe,DESKTOP-4B1OM9L\Gaming,0,3.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2848,steamwebhelper.exe,DESKTOP-4B1OM9L\Gaming,0,85.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2864,msedgewebview2.exe,DESKTOP-4B1OM9L\Gaming,0,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2916,svchost.exe,N/A,0,12.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2928,svchost.exe,N/A,0,43.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2944,svchost.exe,N/A,0,11.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2984,pwsh.exe,DESKTOP-4B1OM9L\Gaming,0,167.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3000,WUDFHost.exe,N/A,0,12.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3028,svchost.exe,N/A,0,8.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3156,msedgewebview2.exe,DESKTOP-4B1OM9L\Gaming,0,7.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3196,Locator.exe,N/A,0,4.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3360,NVDisplay.Container.exe,N/A,0,74.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3384,svchost.exe,N/A,0,25.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3396,svchost.exe,N/A,0,9.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3440,svchost.exe,N/A,0,22.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3448,OneDrive.exe,DESKTOP-4B1OM9L\Gaming,0,258.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3504,svchost.exe,N/A,0,10.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3784,atieclxx.exe,N/A,0,15.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3792,svchost.exe,N/A,0,10.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3800,svchost.exe,N/A,0,17.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3808,svchost.exe,N/A,0,7.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3892,svchost.exe,N/A,0,12.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3900,svchost.exe,N/A,0,12.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3924,MemCompression,N/A,0,146.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4080,svchost.exe,N/A,0,19.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4104,FMService64.exe,N/A,0,10.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4148,svchost.exe,N/A,0,10.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4156,svchost.exe,N/A,0,12.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4288,svchost.exe,N/A,0,9.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4296,steamwebhelper.exe,DESKTOP-4B1OM9L\Gaming,0,3.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4328,RuntimeBroker.exe,DESKTOP-4B1OM9L\Gaming,0,32.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4356,helper.exe,DESKTOP-4B1OM9L\Gaming,0,17.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4360,OfficeClickToRun.exe,N/A,0,76.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4376,svchost.exe,N/A,0,13.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4472,svchost.exe,N/A,0,24.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4548,svchost.exe,N/A,0,25.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4596,svchost.exe,N/A,0,17.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4680,spoolsv.exe,N/A,0,25.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4712,svchost.exe,N/A,0,28.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4760,svchost.exe,N/A,0,9.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4784,WmiPrvSE.exe,N/A,0,37.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4876,svchost.exe,N/A,0,7.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4968,svchost.exe,N/A,0,27.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5128,svchost.exe,N/A,0,38.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5136,svchost.exe,N/A,0,88.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5144,svchost.exe,N/A,0,14.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5156,DAX3API.exe,N/A,0,27.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5168,LenovoVantageService.exe,N/A,0,127.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5176,MpDefenderCoreService.exe,N/A,0,26.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5184,nvcontainer.exe,N/A,0,39.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5232,svchost.exe,N/A,0,7.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5268,svchost.exe,N/A,0,28.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5352,RtkAudUService64.exe,N/A,0,12.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
